S. No.,College Name,College Type,State Name
1,Aazad College of Education (Id: C-39230),Affiliated College,Andhra Pradesh
2,Abhinav Institute of Management & Technology (Id: C-39450),Affiliated College,Andhra Pradesh
3,Abhyudaya Mahila Degree College (Id: C-32630),Affiliated College,Andhra Pradesh
4,A.B.M. College (Id: C-32735),Affiliated College,Andhra Pradesh
5,A.B.R College of Education (Id: C-39231),Affiliated College,Andhra Pradesh
6,A.C.College (Day) (Id: C-32762),Affiliated College,Andhra Pradesh
7,A.C.College of Law (Id: C-32792),Affiliated College,Andhra Pradesh
8,A.C.Evening College (Id: C-32720),Affiliated College,Andhra Pradesh
9,Acharya N.G.Ranga College of Education (Id: C-32793),Affiliated College,Andhra Pradesh
10,Adarsa College of Education (Id: C-32801),Affiliated College,Andhra Pradesh
11,Adarsa Degree College for Women (Id: C-32733),Affiliated College,Andhra Pradesh
12,A.G.K.M.College (Id: C-32664),Affiliated College,Andhra Pradesh
13,A.L.College of Education (Id: C-32711),Affiliated College,Andhra Pradesh
14,Ali College of Education (Id: C-39243),Affiliated College,Andhra Pradesh
15,AL Momin College of Education (Id: C-39261),Affiliated College,Andhra Pradesh
16,Alpha College of Education (Id: C-39238),Affiliated College,Andhra Pradesh
17,"Alpha College of Education, Kanigiri (Id: C-44489)",Affiliated College,Andhra Pradesh
18,Alpha Degree College (Id: C-32797),Affiliated College,Andhra Pradesh
19,Aman Showkath B.Ed College (Id: C-39227),Affiliated College,Andhra Pradesh
20,A.M.G.College of Education (Id: C-32649),Affiliated College,Andhra Pradesh
21,A.M.G.Degree College for Women (Id: C-32769),Affiliated College,Andhra Pradesh
22,A.M Reddy College of Education (Id: C-37211),Affiliated College,Andhra Pradesh
23,A.M. Reddy Memorial College of Pharmacy (Id: C-39491),Affiliated College,Andhra Pradesh
24,Amrutha College of Education (Id: C-39232),Affiliated College,Andhra Pradesh
25,Amrutha Degree College (Id: C-44105),Affiliated College,Andhra Pradesh
26,Andhra Kesari College of Education (Id: C-39275),Affiliated College,Andhra Pradesh
27,Andhra Kesari Vidya Kendram Degree College (Id: C-32631),Affiliated College,Andhra Pradesh
28,Andhra Muslim College (Id: C-32727),Affiliated College,Andhra Pradesh
29,Andhra Muslim College of Education (Id: C-36923),Affiliated College,Andhra Pradesh
30,Anitha Venkateswara College of Eduation (Id: C-39241),Affiliated College,Andhra Pradesh
31,Annabattuni Satyanarayana Degree College (Id: C-32656),Affiliated College,Andhra Pradesh
32,Anniebesant College of Education (Id: C-32740),Affiliated College,Andhra Pradesh
33,ANU PG Campus Ongole (Id: C-32629),PG Center / Off-Campus Center,Andhra Pradesh
34,A.P.Residential Degree College (Id: C-32778),Affiliated College,Andhra Pradesh
35,Asha College of Education (Id: C-39244),Affiliated College,Andhra Pradesh
36,A.S.M & A.W. D Women's Degree College (Id: C-39265),Affiliated College,Andhra Pradesh
37,"A.S.N Pharmacy College, Tenali (Id: C-39489)",Affiliated College,Andhra Pradesh
38,B.A & K.R College of Education (Id: C-39269),Affiliated College,Andhra Pradesh
39,B.A & K.R Degree College (Id: C-32771),Affiliated College,Andhra Pradesh
40,Balaji Degree College (Id: C-32669),Affiliated College,Andhra Pradesh
41,Bapatla College of Arts & Science (Id: C-32779),Affiliated College,Andhra Pradesh
42,Bapatla Engineering College (Id: C-42660),Affiliated College,Andhra Pradesh
43,Bapatla Womens Engineering College (Id: C-39453),Affiliated College,Andhra Pradesh
44,Bapuji College of Education (Id: C-39240),Affiliated College,Andhra Pradesh
45,B.B.H Degree College (Id: C-32756),Affiliated College,Andhra Pradesh
46,"B.G Degree College, Sattenapalli (Id: C-40608)",Affiliated College,Andhra Pradesh
47,Bharathi Degree College (Id: C-32667),Affiliated College,Andhra Pradesh
48,Bhashyam College of Education (Id: C-39234),Affiliated College,Andhra Pradesh
49,B.H.H Degree College for Women (Id: C-32803),Affiliated College,Andhra Pradesh
50,"B.M.Degree College, P.Dornala (Id: C-39300)",Affiliated College,Andhra Pradesh
51,BMRM Jhansi B.Ed College (Id: C-39237),Affiliated College,Andhra Pradesh
52,B.R College of Education (Id: C-37221),Affiliated College,Andhra Pradesh
53,B.S.S.B College (Id: C-32652),Affiliated College,Andhra Pradesh
54,B.V.S.P.M Degree College (Id: C-32663),Affiliated College,Andhra Pradesh
55,Career Degree College (Id: C-32782),Affiliated College,Andhra Pradesh
56,"Chaitanya Bharathi Degree College, Chirala (Id: C-42659)",Affiliated College,Andhra Pradesh
57,Chaitanya College of Education (Id: C-32763),Affiliated College,Andhra Pradesh
58,"Chakradhar Degree College, Macherla (Id: C-39308)",Affiliated College,Andhra Pradesh
59,"Chalapathi Degree College, Lam (Id: C-42706)",Affiliated College,Andhra Pradesh
60,"Chalapathi Institute of Engineering & Technology, Lam (Id: C-39475)",Affiliated College,Andhra Pradesh
61,"Chalapathi Institute of Pharmaceutical Sciences, Lam (Id: C-39486)",Affiliated College,Andhra Pradesh
62,Chebrolu Hanumaiah College of Pharmaceutical Sciences (Id: C-39452),Affiliated College,Andhra Pradesh
63,Chegireddy Linga Reddy Instt of Management (Id: C-39466),Affiliated College,Andhra Pradesh
64,"Chirala College of PG Studies, Chirala (Id: C-39457)",Affiliated College,Andhra Pradesh
65,Chiristian Women's College (Id: C-32703),Affiliated College,Andhra Pradesh
66,Christu Jayanthi Jubilee College (P.G.) (Id: C-32819),Affiliated College,Andhra Pradesh
67,C.I.L.For Rural Management (Id: C-42663),Affiliated College,Andhra Pradesh
68,C.R. College (Id: C-32796),Affiliated College,Andhra Pradesh
69,C.S.R. Sarma College (Id: C-32702),Affiliated College,Andhra Pradesh
70,D.C.R.M Degree College (Id: C-32662),Affiliated College,Andhra Pradesh
71,"D.C.R.M P.G College, MBA (Id: C-32655)",Affiliated College,Andhra Pradesh
72,Devathi Venkata Subbaiah Degree College (Id: C-32710),Affiliated College,Andhra Pradesh
73,Devathi Venkata Subbiah College of Education (Id: C-37223),Affiliated College,Andhra Pradesh
74,Don Bosco College (P.G.) (Id: C-32804),Affiliated College,Andhra Pradesh
75,Dr. B.R.Ambedkar Centenary Degree College (Id: C-32741),Affiliated College,Andhra Pradesh
76,Dr.Homi Jahangir Baba Degree College (Id: C-32813),Affiliated College,Andhra Pradesh
77,Dr. Jayapradamba Degree College (Id: C-32776),Affiliated College,Andhra Pradesh
78,Dr. K.R.R.M. Degree College (Id: C-32636),Affiliated College,Andhra Pradesh
79,Dr. K.S.P.R College of Education (Id: C-39242),Affiliated College,Andhra Pradesh
80,Dr.K.V.K. Sanskrit College (Id: C-32692),Affiliated College,Andhra Pradesh
81,D.R.N.S.C.V.S. College (Id: C-32790),Affiliated College,Andhra Pradesh
82,Dr. Samuel George College of Pharmaceutical Science (Id: C-32811),Affiliated College,Andhra Pradesh
83,Dr. Zakir Hussain College of Education (Id: C-36922),Affiliated College,Andhra Pradesh
84,"D.S.Govt. Degree College for Women, Ongole (Id: C-32817)",Affiliated College,Andhra Pradesh
85,Erigineni Tirupati Naidu & Lakshmamma Degree College (Id: C-32786),Affiliated College,Andhra Pradesh
86,Fatima College of Education (Id: C-32654),Affiliated College,Andhra Pradesh
87,G.C.K.V.N. Degree College (Id: C-32628),Affiliated College,Andhra Pradesh
88,G.C & Y P N Degree College (Id: C-32698),Affiliated College,Andhra Pradesh
89,Geetham Degree College (Id: C-32777),Affiliated College,Andhra Pradesh
90,"Geethanjali Degree College, Darsi (Id: C-41015)",Affiliated College,Andhra Pradesh
91,Geethika B.Ed College (Id: C-39236),Affiliated College,Andhra Pradesh
92,Goutham College of Education (Id: C-39310),Affiliated College,Andhra Pradesh
93,"Government Degree College, Cumbum (Id: C-39309)",Affiliated College,Andhra Pradesh
94,"Government Degree College, Yerragondapalem (Id: C-39295)",Affiliated College,Andhra Pradesh
95,"Govt. Degree College, Chebrolu (Id: C-32624)",Affiliated College,Andhra Pradesh
96,"Govt. Degree College for Women, Guntur (Id: C-32670)",Affiliated College,Andhra Pradesh
97,"Govt. Degree College, Kanigiri (Id: C-32748)",Affiliated College,Andhra Pradesh
98,"G.R.K Degree College, Maddipadu (Id: C-39306)",Affiliated College,Andhra Pradesh
99,G.R.R. & T.P.R. Degree College (Id: C-42707),Affiliated College,Andhra Pradesh
100,G.S.R. Degree College (Id: C-41014),Affiliated College,Andhra Pradesh
101,G.V.& A.D.S.L. College of Education (Id: C-32678),Affiliated College,Andhra Pradesh
102,G.V.R & S College of Education (Id: C-39228),Affiliated College,Andhra Pradesh
103,G V R & S Degree College for Women (Id: C-32690),Affiliated College,Andhra Pradesh
104,G.V.R.S Institute for Professional Studies (Id: C-32718),Affiliated College,Andhra Pradesh
105,G.V.S.M. GOVT. Degree College (Id: C-32724),Affiliated College,Andhra Pradesh
106,Hazarath Ameeruddin College of Education (Id: C-39272),Affiliated College,Andhra Pradesh
107,"Hindu College, Guntur (Id: C-32675)",Affiliated College,Andhra Pradesh
108,Hindu College of Education (Id: C-37107),Affiliated College,Andhra Pradesh
109,"Hindu College of Management, Guntur (Id: C-39487)",Affiliated College,Andhra Pradesh
110,Hindu College of Pharmacy (Id: C-32798),Affiliated College,Andhra Pradesh
111,H.M.K.S. & M.G.S. Memorial College of Education (Id: C-32809),Affiliated College,Andhra Pradesh
112,Ideal & S.K.C.M Degree College (Id: C-32830),Affiliated College,Andhra Pradesh
113,Indira Priyadarsni Law College (Id: C-32736),Affiliated College,Andhra Pradesh
114,J.C. College of Law (Id: C-32815),Affiliated College,Andhra Pradesh
115,J.K.C. College (Id: C-32701),Affiliated College,Andhra Pradesh
116,J.M.J. College for Women (Id: C-32812),Affiliated College,Andhra Pradesh
117,J.R.R Navodaya Degree College (Id: C-39268),Affiliated College,Andhra Pradesh
118,Kalikamba College of Education (Id: C-32722),Affiliated College,Andhra Pradesh
119,"Kalyani MCA College, Eethamukkala (Id: C-42704)",Affiliated College,Andhra Pradesh
120,Kamala College of Education (Id: C-39274),Affiliated College,Andhra Pradesh
121,Kamala Institute of Management Studies (Id: C-44107),Affiliated College,Andhra Pradesh
122,Kasturibai College of Education (Id: C-37209),Affiliated College,Andhra Pradesh
123,K Chandrakala College (P.G.) (Id: C-32666),Affiliated College,Andhra Pradesh
124,K.C Reddy Institute of Pharmaceutical Sciences (Id: C-39485),Affiliated College,Andhra Pradesh
125,"KC Reddy PG College, Janamguntapalem (Id: C-42658)",Affiliated College,Andhra Pradesh
126,K.L.N. Sanskrit College (Id: C-32794),Affiliated College,Andhra Pradesh
127,K.L.R. Degree College (Id: C-32764),Affiliated College,Andhra Pradesh
128,Konijeti Rosaiah Siva Lakshmi College (Id: C-41017),Affiliated College,Andhra Pradesh
129,Krishnaveni Degree College (Id: C-32694),Affiliated College,Andhra Pradesh
130,"Krishnaveni Degree College, Vinukonda (Id: C-42745)",Affiliated College,Andhra Pradesh
131,K R K Govt. Degree College (Id: C-32818),Affiliated College,Andhra Pradesh
132,K.S.R & K.R.K College of Education (Id: C-39235),Affiliated College,Andhra Pradesh
133,"K.S.R.N. Degree College, Govada (Id: C-39316)",Affiliated College,Andhra Pradesh
134,"K.V.R., K.VR. & M.K.R College (Id: C-39270)",Affiliated College,Andhra Pradesh
135,Lakshmi Narsimha College of Education (Id: C-37212),Affiliated College,Andhra Pradesh
136,Magunta Subba Rami Reddy Degree College (Id: C-32688),Affiliated College,Andhra Pradesh
137,Mahatma Gandhi College (Id: C-32829),Affiliated College,Andhra Pradesh
138,Malineni Lakshmaiah B.Ed College (Id: C-39262),Affiliated College,Andhra Pradesh
139,M.A.M College of Education (Id: C-39245),Affiliated College,Andhra Pradesh
140,"M.A.M College of Pharmacy, Narsaraopet (Id: C-39470)",Affiliated College,Andhra Pradesh
141,Matrusri Oriental College (Id: C-32821),Affiliated College,Andhra Pradesh
142,M.G College of Education (Id: C-37222),Affiliated College,Andhra Pradesh
143,"Mittapalli Lakshmaiah & Sons Degree College, Piduguralla (Id: C-41008)",Affiliated College,Andhra Pradesh
144,M.L. College of MBA (Id: C-32751),Affiliated College,Andhra Pradesh
145,M.L. College of Pharmacy (Id: C-32658),Affiliated College,Andhra Pradesh
146,"M.M.R Degree College, Macherla (Id: C-39305)",Affiliated College,Andhra Pradesh
147,Modern Degree College (Id: C-32674),Affiliated College,Andhra Pradesh
148,Morning Star College (Id: C-32633),Affiliated College,Andhra Pradesh
149,"Mother Theresa Womens Degree College, Karampudi (Id: C-42779)",Affiliated College,Andhra Pradesh
150,"M.S.R. Degree College, Bapatla (Id: C-39315)",Affiliated College,Andhra Pradesh
151,M.V.G.R. Degree College (Id: C-32719),Affiliated College,Andhra Pradesh
152,"M.V.R Degree College, Karlapalem (Id: C-39264)",Affiliated College,Andhra Pradesh
153,M.V.R.S. Viveka Degree College (Id: C-32721),Affiliated College,Andhra Pradesh
154,Nagarjuna College of Education (Id: C-32641),Affiliated College,Andhra Pradesh
155,"Nagarjuna Institute of Management Studies, Chekurapadu (Id: C-39467)",Affiliated College,Andhra Pradesh
156,Nalanda College of Education (Id: C-37207),Affiliated College,Andhra Pradesh
157,National Minority Degree College (Id: C-32683),Affiliated College,Andhra Pradesh
158,Navya Chaitanya College of Education (Id: C-32758),Affiliated College,Andhra Pradesh
159,N.B.T & N V C College (Id: C-32746),Affiliated College,Andhra Pradesh
160,New Era College of Education (Id: C-37106),Affiliated College,Andhra Pradesh
161,"Nirmala College of Pharmacy, Mangalagiri (Id: C-39481)",Affiliated College,Andhra Pradesh
162,N.N.R. & C.L. Degree College (Id: C-32743),Affiliated College,Andhra Pradesh
163,N.N.S. Vidya College of P.G. Studies (Id: C-32761),Affiliated College,Andhra Pradesh
164,N.N.S Vidya Degree College (Id: C-42657),Affiliated College,Andhra Pradesh
165,N.R.K & K.S.R Gupta College of Pharmacy (Id: C-39469),Affiliated College,Andhra Pradesh
166,N.R.K. & K.S.R. Gupta Degree College (Id: C-32747),Affiliated College,Andhra Pradesh
